13:48:24.776 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = daml-ui-tempalte, port = 6865, dar file = List(.daml/dist/daml-ui-template-0.0.1.dar), time mode = wall-clock time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
13:49:20.303 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Alice) (context: {participantId=sandbox-participant}) 
13:49:23.057 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Bob) (context: {participantId=sandbox-participant}) 
13:55:23.377 [sandbox-akka.actor.default-dispatcher-10] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
13:55:23.378 [sandbox-akka.actor.default-dispatcher-10] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 2 trackers (context: {participantId=sandbox-participant}) 
13:55:23.415 [sandbox-akka.actor.default-dispatcher-10] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-6, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=12:55:23.414UTC
14:13:05.859 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
14:13:06.878 [sandbox-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
14:13:10.111 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
14:13:10.980 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
14:13:11.054 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = daml-ui-tempalte, port = 6865, dar file = List(.daml/dist/daml-ui-template-0.0.1.dar), time mode = wall-clock time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
14:14:29.295 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Alice) (context: {participantId=sandbox-participant}) 
14:14:31.067 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Bob) (context: {participantId=sandbox-participant}) 
14:14:45.149 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(653a7958-678a-42a6-95ac-78c8c1663810,Alice) (context: {participantId=sandbox-participant}) 
14:16:36.153 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
14:16:36.154 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 3 trackers (context: {participantId=sandbox-participant}) 
14:16:36.188 [sandbox-akka.actor.default-dispatcher-5] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-6, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=13:16:36.186UTC
14:16:43.204 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
14:16:43.921 [sandbox-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
